source,target,value
Somalia,Zambia,993
Burundi,Zimbabwe,493
Dem. Rep. of the Congo,Zimbabwe,1927
Rwanda,Zimbabwe,565
Eritrea,Egypt,373
Palestinian,Egypt,70213
Iraq,Egypt,10273
Somalia,Egypt,5139
Sudan,Egypt,10499
Azerbaijan,Armenia,3815
Iraq,Armenia,718
Afghanistan,Azerbaijan,108
Dem. Rep. of the Congo,Burundi,23914
Rwanda,Burundi,553
Afghanistan,Belgium,151
Angola,Belgium,133
Burundi,Belgium,258
Dem. Rep. of the Congo,Belgium,1093
Iraq,Belgium,292
Rwanda,Belgium,1350
Syrian Arab Rep.,Belgium,114
Dem. Rep. of the Congo,Benin,454
Nigeria,Benin,170
Rwanda,Benin,145
Myanmar,Bangladesh,27544
Afghanistan,Belarus,454
Angola,Botswana,640
Angola,Brazil,1669
Dem. Rep. of the Congo,Brazil,292
Palestinian,Brazil,126
Iraq,Brazil,159
Liberia,Brazil,254
Viet Nam,Cambodia,154
Dem. Rep. of the Congo,Central African Rep.,1893
Rwanda,Central African Rep.,242
Sudan,Central African Rep.,4170
Burundi,Cameroon,266
Central African Rep.,Cameroon,48498
Dem. Rep. of the Congo,Cameroon,691
Nigeria,Cameroon,2872
Rwanda,Cameroon,1362
Angola,Congo,2665
Dem. Rep. of the Congo,Congo,27605
Rwanda,Congo,7941
Somalia,Djibouti,5980
Somalia,Eritrea,4228
Sudan,Eritrea,729
Dem. Rep. of the Congo,Ethiopia,230
Eritrea,Ethiopia,20753
Somalia,Ethiopia,25843
Sudan,Ethiopia,35493
Afghanistan,France,1273
Angola,France,2722
Azerbaijan,France,1439
Burundi,France,288
Central African Rep.,France,497
Dem. Rep. of the Congo,France,9329
Eritrea,France,162
Iraq,France,1397
Liberia,France,208
Sri Lanka,France,16605
Mali,France,378
Myanmar,France,127
Nigeria,France,532
Rwanda,France,2049
Somalia,France,650
Viet Nam,France,8668
Sudan,France,994
Syrian Arab Rep.,France,217
Liberia,Gambia,795
Liberia,Ghana,26967
Sudan,Ghana,595
Liberia,Guinea,14489
Dem. Rep. of the Congo,Cote d'Ivoire,131
Liberia,Cote d'Ivoire,24146
Afghanistan,India,9011
Palestinian,India,227
Sri Lanka,India,72934
Myanmar,India,1812
Somalia,India,221
Iraq,Indonesia,112
Afghanistan,Iran (Islamic Rep. of),906071
Iraq,Iran (Islamic Rep. of),57414
Palestinian,Iraq,14937
Sudan,Iraq,137
Syrian Arab Rep.,Iraq,590
Sudan,Israel,298
Iraq,Jordan,500000
Myanmar,Japan,371
Viet Nam,Japan,975
Afghanistan,Kazakhstan,404
Burundi,Kenya,1270
Dem. Rep. of the Congo,Kenya,2674
Eritrea,Kenya,675
Rwanda,Kenya,2498
Somalia,Kenya,192420
Sudan,Kenya,45261
Afghanistan,Kyrgyzstan,277
Palestinian,Libya,1953
Iraq,Libya,1055
Liberia,Libya,144
Somalia,Libya,513
Sudan,Libya,181
Iraq,Lebanon,9817
Liberia,Mauritania,175
Dem. Rep. of the Congo,Mali,157
Iraq,Malaysia,148
Sri Lanka,Malaysia,283
Myanmar,Malaysia,29417
Dem. Rep. of the Congo,Morocco,218
Iraq,Morocco,112
Burundi,Mozambique,687
Dem. Rep. of the Congo,Mozambique,1340
Rwanda,Mozambique,698
Angola,Namibia,5705
Burundi,Namibia,109
Dem. Rep. of the Congo,Namibia,642
Dem. Rep. of the Congo,Nigeria,761
Liberia,Nigeria,5528
Sudan,Nigeria,172
Afghanistan,Pakistan,886666
Burundi,Rwanda,2817
Dem. Rep. of the Congo,Rwanda,50731
Eritrea,Saudi Arabia,403
Iraq,Saudi Arabia,238
Liberia,Senegal,236
Rwanda,Senegal,300
Liberia,Sierra Leone,8738
Central African Rep.,Sudan,2500
Dem. Rep. of the Congo,Sudan,2283
Eritrea,Sudan,159917
Somalia,Sudan,559
Burundi,Eswatini,173
Dem. Rep. of the Congo,Eswatini,134
Rwanda,Eswatini,117
Afghanistan,Switzerland,1609
Angola,Switzerland,1967
Burundi,Switzerland,130
Dem. Rep. of the Congo,Switzerland,1377
Eritrea,Switzerland,1037
Iraq,Switzerland,4850
Sri Lanka,Switzerland,2176
Rwanda,Switzerland,246
Somalia,Switzerland,3206
Viet Nam,Switzerland,1839
Sudan,Switzerland,149
Syrian Arab Rep.,Switzerland,430
Afghanistan,Syrian Arab Rep.,226
Palestinian,Syrian Arab Rep.,974
Iraq,Syrian Arab Rep.,1500000
Somalia,Syrian Arab Rep.,2080
Sudan,Syrian Arab Rep.,170
Burundi,United Rep. of Tanzania,336277
Dem. Rep. of the Congo,United Rep. of Tanzania,97099
Somalia,United Rep. of Tanzania,2059
Sri Lanka,Thailand,173
Myanmar,Thailand,124562
Dem. Rep. of the Congo,Togo,127
Rwanda,Togo,821
Afghanistan,Turkey,212
Iraq,Turkey,3662
Somalia,Turkey,668
Burundi,Uganda,2224
Dem. Rep. of the Congo,Uganda,41782
Eritrea,Uganda,139
Rwanda,Uganda,17846
Somalia,Uganda,4573
Sudan,Uganda,157063
Afghanistan,Ukraine,1171
Azerbaijan,Ukraine,184
Eritrea,Yemen,415
Palestinian,Yemen,440
Iraq,Yemen,3747
Somalia,Yemen,110616
Angola,Zambia,18757
Burundi,Zambia,1017
Dem. Rep. of the Congo,Zambia,40434
Rwanda,Zambia,3145
Somalia,Zambia,1025
Burundi,Zimbabwe,552
Dem. Rep. of the Congo,Zimbabwe,2596
Rwanda,Zimbabwe,635
Eritrea,Egypt,752
Palestinian,Egypt,70174
Iraq,Egypt,10091
Somalia,Egypt,5600
Sudan,Egypt,10146
Azerbaijan,Armenia,3082
Iraq,Armenia,837
Afghanistan,Azerbaijan,125
Dem. Rep. of the Congo,Burundi,20757
Rwanda,Burundi,310
Afghanistan,Belgium,196
Angola,Belgium,128
Burundi,Belgium,243
Dem. Rep. of the Congo,Belgium,784
Iraq,Belgium,494
Rwanda,Belgium,1108
Syrian Arab Rep.,Belgium,152
Dem. Rep. of the Congo,Benin,410
Nigeria,Benin,107
Rwanda,Benin,154
Myanmar,Bangladesh,28337
Afghanistan,Belarus,436
Angola,Botswana,469
Dem. Rep. of the Congo,Botswana,102
Somalia,Botswana,514
Angola,Brazil,1666
Dem. Rep. of the Congo,Brazil,353
Palestinian,Brazil,127
Iraq,Brazil,167
Liberia,Brazil,249
Viet Nam,Cambodia,140
Dem. Rep. of the Congo,Central African Rep.,1536
Rwanda,Central African Rep.,291
Sudan,Central African Rep.,4411
Central African Rep.,Chad,47695
Sudan,Chad,233335
Burundi,Cameroon,260
Central African Rep.,Cameroon,66602
Dem. Rep. of the Congo,Cameroon,684
Nigeria,Cameroon,2872
Rwanda,Cameroon,1369
Angola,Congo,2652
Dem. Rep. of the Congo,Congo,13973
Rwanda,Congo,7897
Eritrea,Djibouti,150
Somalia,Djibouti,8522
Somalia,Eritrea,4675
Sudan,Eritrea,111
Dem. Rep. of the Congo,Ethiopia,225
Eritrea,Ethiopia,21018
Somalia,Ethiopia,33625
Sudan,Ethiopia,25913
Afghanistan,France,1345
Angola,France,2814
Azerbaijan,France,1745
Burundi,France,302
Central African Rep.,France,530
Dem. Rep. of the Congo,France,9952
Eritrea,France,222
Palestinian,France,109
Iraq,France,1656
Liberia,France,211
Sri Lanka,France,18102
Mali,France,1049
Myanmar,France,144
Nigeria,France,606
Rwanda,France,2184
Somalia,France,686
Viet Nam,France,8583
Sudan,France,1151
Syrian Arab Rep.,France,233
Liberia,Gambia,762
Liberia,Ghana,15797
Sudan,Ghana,392
Liberia,Guinea-Bissau,109
Liberia,Guinea,11097
Dem. Rep. of the Congo,Cote d'Ivoire,138
Liberia,Cote d'Ivoire,24256
Afghanistan,India,8441
Palestinian,India,141
Iraq,India,109
Sri Lanka,India,73286
Myanmar,India,1967
Somalia,India,489
Iraq,Indonesia,186
Afghanistan,Iran (Islamic Rep. of),935595
Iraq,Iran (Islamic Rep. of),44444
Palestinian,Iraq,12302
Syrian Arab Rep.,Iraq,534
Iraq,Jordan,500000
Somalia,Jordan,134
Myanmar,Japan,746
Viet Nam,Japan,867
Afghanistan,Kazakhstan,493
Burundi,Kenya,1313
Dem. Rep. of the Congo,Kenya,2927
Eritrea,Kenya,779
Rwanda,Kenya,2524
Somalia,Kenya,259121
Sudan,Kenya,28496
Afghanistan,Kyrgyzstan,267
Eritrea,Libya,312
Palestinian,Libya,2842
Iraq,Libya,2217
Liberia,Libya,147
Somalia,Libya,573
Sudan,Libya,372
Iraq,Lebanon,10245
Sudan,Lebanon,101
Liberia,Mauritania,185
Dem. Rep. of the Congo,Mali,122
Palestinian,Malaysia,105
Iraq,Malaysia,327
Sri Lanka,Malaysia,1232
Myanmar,Malaysia,33715
Somalia,Malaysia,365
Burundi,Malawi,805
Dem. Rep. of the Congo,Malawi,1577
Rwanda,Malawi,1774
Dem. Rep. of the Congo,Morocco,213
Iraq,Morocco,135
Burundi,Mozambique,718
Dem. Rep. of the Congo,Mozambique,1667
Rwanda,Mozambique,720
Angola,Namibia,5916
Burundi,Namibia,127
Dem. Rep. of the Congo,Namibia,675
Dem. Rep. of the Congo,Nigeria,773
Liberia,Nigeria,5303
Sudan,Nigeria,188
Afghanistan,Pakistan,764935
Iraq,Pakistan,109
Somalia,Pakistan,491
Burundi,Rwanda,2624
Dem. Rep. of the Congo,Rwanda,52409
Eritrea,Saudi Arabia,382
Liberia,Senegal,233
Rwanda,Senegal,300
Liberia,Sierra Leone,7778
Central African Rep.,Sudan,245
Dem. Rep. of the Congo,Sudan,5447
Eritrea,Sudan,124785
Somalia,Sudan,204
Burundi,Eswatini,171
Dem. Rep. of the Congo,Eswatini,133
Rwanda,Eswatini,108
Afghanistan,Switzerland,1610
Angola,Switzerland,1843
Dem. Rep. of the Congo,Switzerland,1451
Eritrea,Switzerland,2471
Iraq,Switzerland,3038
Sri Lanka,Switzerland,2464
Rwanda,Switzerland,237
Somalia,Switzerland,3070
Viet Nam,Switzerland,1706
Sudan,Switzerland,154
Syrian Arab Rep.,Switzerland,626
Afghanistan,Syrian Arab Rep.,517
Palestinian,Syrian Arab Rep.,1165
Iraq,Syrian Arab Rep.,1100000
Somalia,Syrian Arab Rep.,3358
Sudan,Syrian Arab Rep.,292
Burundi,United Rep. of Tanzania,240480
Dem. Rep. of the Congo,United Rep. of Tanzania,79706
Somalia,United Rep. of Tanzania,1520
Sri Lanka,Thailand,352
Myanmar,Thailand,111555
Somalia,Thailand,123
Dem. Rep. of the Congo,Togo,112
Rwanda,Togo,806
Afghanistan,Turkey,347
Iraq,Turkey,7481
Somalia,Turkey,862
Iraq,United Arab Emirates,126
Burundi,Uganda,3183
Dem. Rep. of the Congo,Uganda,60498
Eritrea,Uganda,796
Rwanda,Uganda,16162
Somalia,Uganda,6085
Sudan,Uganda,56883
Afghanistan,Ukraine,1156
Azerbaijan,Ukraine,182
Afghanistan,Uzbekistan,809
Eritrea,Yemen,603
Palestinian,Yemen,517
Iraq,Yemen,4461
Somalia,Yemen,132275
Angola,Zambia,18901
Burundi,Zambia,1537
Dem. Rep. of the Congo,Zambia,32329
Rwanda,Zambia,3998
Somalia,Zambia,1168
Burundi,Zimbabwe,498
Dem. Rep. of the Congo,Zimbabwe,2250
Rwanda,Zimbabwe,592
Dem. Rep. of the Congo,Angola,13364
Rwanda,Angola,422
Sudan,Angola,135
Eritrea,Egypt,859
Palestinian,Egypt,70024
Iraq,Egypt,6572
Somalia,Egypt,6096
Sudan,Egypt,9818
Azerbaijan,Armenia,2681
Iraq,Armenia,870
Afghanistan,Azerbaijan,149
Iraq,Bahrain,139
Dem. Rep. of the Congo,Burundi,24614
Rwanda,Burundi,327
Afghanistan,Belgium,271
Angola,Belgium,109
Burundi,Belgium,245
Dem. Rep. of the Congo,Belgium,748
Iraq,Belgium,718
Sri Lanka,Belgium,160
Rwanda,Belgium,1046
Syrian Arab Rep.,Belgium,177
Dem. Rep. of the Congo,Benin,402
Rwanda,Benin,145
Myanmar,Bangladesh,28557
Afghanistan,Belarus,408
Angola,Botswana,502
Dem. Rep. of the Congo,Botswana,111
Somalia,Botswana,488
Angola,Brazil,1683
Dem. Rep. of the Congo,Brazil,383
Palestinian,Brazil,121
Iraq,Brazil,197
Liberia,Brazil,259
Viet Nam,Cambodia,107
Dem. Rep. of the Congo,Central African Rep.,20899
Rwanda,Central African Rep.,329
Sudan,Central African Rep.,4488
Central African Rep.,Chad,61367
Sudan,Chad,234576
Burundi,Cameroon,256
Central African Rep.,Cameroon,85824
Dem. Rep. of the Congo,Cameroon,714
Nigeria,Cameroon,2873
Rwanda,Cameroon,1438
Angola,Congo,813
Dem. Rep. of the Congo,Congo,9130
Rwanda,Congo,7121
Angola,Dem. Rep. of the Congo,84374
Burundi,Dem. Rep. of the Congo,7662
Rwanda,Dem. Rep. of the Congo,1664
Sudan,Dem. Rep. of the Congo,2509
Eritrea,Djibouti,293
Somalia,Djibouti,11198
Afghanistan,Ecuador,105
Somalia,Eritrea,4561
Sudan,Eritrea,117
Dem. Rep. of the Congo,Ethiopia,295
Eritrea,Ethiopia,36164
Somalia,Ethiopia,58980
Sudan,Ethiopia,23516
Liberia,Gambia,728
Afghanistan,Germany,30320
Angola,Germany,3433
Azerbaijan,Germany,6063
Burundi,Germany,145
Dem. Rep. of the Congo,Germany,6093
Eritrea,Germany,4293
Iraq,Germany,49033
Liberia,Germany,357
Sri Lanka,Germany,12248
Myanmar,Germany,756
Nigeria,Germany,2640
Rwanda,Germany,224
Somalia,Germany,2407
Viet Nam,Germany,25215
Sudan,Germany,546
Syrian Arab Rep.,Germany,10217
Liberia,Ghana,11476
Sudan,Ghana,261
Liberia,Guinea-Bissau,115
Liberia,Guinea,11120
Afghanistan,Hungary,1907
Dem. Rep. of the Congo,Cote d'Ivoire,137
Liberia,Cote d'Ivoire,24033
Afghanistan,India,8528
Iraq,India,130
Sri Lanka,India,72883
Myanmar,India,2952
Somalia,India,655
Afghanistan,Indonesia,220
Iraq,Indonesia,209
Sri Lanka,Indonesia,121
Myanmar,Indonesia,154
Afghanistan,Iran (Islamic Rep. of),1022494
Iraq,Iran (Islamic Rep. of),47924
Palestinian,Iraq,11930
Syrian Arab Rep.,Iraq,757
Iraq,Jordan,450000
Somalia,Jordan,212
Sudan,Jordan,191
Syrian Arab Rep.,Jordan,138
Myanmar,Japan,1193
Viet Nam,Japan,690
Afghanistan,Kazakhstan,429
Burundi,Kenya,1313
Dem. Rep. of the Congo,Kenya,3608
Eritrea,Kenya,1027
Rwanda,Kenya,2468
Somalia,Kenya,310280
Sudan,Kenya,20315
Afghanistan,Kyrgyzstan,323
Myanmar,Rep. of Korea,101
Iraq,Kuwait,175
Eritrea,Libya,622
Palestinian,Libya,3777
Iraq,Libya,2777
Liberia,Libya,134
Somalia,Libya,643
Sudan,Libya,919
Iraq,Lebanon,8742
Liberia,Mauritania,184
Dem. Rep. of the Congo,Mali,126
Liberia,Mali,423
Afghanistan,Malaysia,248
Palestinian,Malaysia,156
Iraq,Malaysia,450
Sri Lanka,Malaysia,2132
Myanmar,Malaysia,61393
Somalia,Malaysia,647
Burundi,Malawi,1220
Dem. Rep. of the Congo,Malawi,1950
Rwanda,Malawi,2226
Dem. Rep. of the Congo,Morocco,209
Iraq,Morocco,157
Burundi,Mozambique,827
Dem. Rep. of the Congo,Mozambique,1932
Rwanda,Mozambique,730
Angola,Namibia,5924
Burundi,Namibia,153
Dem. Rep. of the Congo,Namibia,964
Dem. Rep. of the Congo,Nigeria,760
Liberia,Nigeria,5261
Sudan,Nigeria,178
Afghanistan,Pakistan,758616
Somalia,Pakistan,528
Burundi,Rwanda,336
Dem. Rep. of the Congo,Rwanda,53647
Eritrea,Saudi Arabia,379
Liberia,Senegal,233
Rwanda,Senegal,305
Liberia,Sierra Leone,9030
Central African Rep.,Sudan,1033
Dem. Rep. of the Congo,Sudan,19709
Eritrea,Sudan,87798
Burundi,Eswatini,170
Dem. Rep. of the Congo,Eswatini,126
Rwanda,Eswatini,108
Afghanistan,Switzerland,1683
Angola,Switzerland,1644
Dem. Rep. of the Congo,Switzerland,1449
Eritrea,Switzerland,3944
Iraq,Switzerland,4612
Sri Lanka,Switzerland,2836
Rwanda,Switzerland,225
Somalia,Switzerland,3197
Viet Nam,Switzerland,1587
Sudan,Switzerland,144
Syrian Arab Rep.,Switzerland,661
Afghanistan,Syrian Arab Rep.,963
Palestinian,Syrian Arab Rep.,631
Iraq,Syrian Arab Rep.,1050000
Somalia,Syrian Arab Rep.,2260
Sudan,Syrian Arab Rep.,316
Burundi,United Rep. of Tanzania,53823
Dem. Rep. of the Congo,United Rep. of Tanzania,63275
Somalia,United Rep. of Tanzania,1447
Sri Lanka,Thailand,410
Myanmar,Thailand,104107
Somalia,Thailand,122
Rwanda,Togo,239
Afghanistan,Turkey,1040
Iraq,Turkey,6194
Somalia,Turkey,922
Sudan,Turkey,108
Iraq,United Arab Emirates,210
Burundi,Uganda,3777
Dem. Rep. of the Congo,Uganda,73175
Eritrea,Uganda,3046
Rwanda,Uganda,15717
Somalia,Uganda,8172
Sudan,Uganda,20836
Afghanistan,Ukraine,1239
Azerbaijan,Ukraine,179
Afghanistan,Uzbekistan,546
Eritrea,Yemen,767
Palestinian,Yemen,580
Iraq,Yemen,4428
Somalia,Yemen,161468
Angola,Zambia,17100
Burundi,Zambia,1687
Dem. Rep. of the Congo,Zambia,15430
Rwanda,Zambia,4245
Somalia,Zambia,1227
Burundi,Zimbabwe,555
Dem. Rep. of the Congo,Zimbabwe,2648
Rwanda,Zimbabwe,652
Dem. Rep. of the Congo,Angola,13648
Rwanda,Angola,444
Sudan,Angola,159
Eritrea,Egypt,938
Palestinian,Egypt,70026
Iraq,Egypt,6772
Somalia,Egypt,6172
Sudan,Egypt,10035
Azerbaijan,Armenia,2347
Iraq,Armenia,888
Afghanistan,Azerbaijan,718
Iraq,Bahrain,165
Dem. Rep. of the Congo,Burundi,28957
Rwanda,Burundi,366
Afghanistan,Belgium,501
Angola,Belgium,117
Burundi,Belgium,255
Dem. Rep. of the Congo,Belgium,689
Palestinian,Belgium,122
Iraq,Belgium,962
Sri Lanka,Belgium,212
Rwanda,Belgium,981
Somalia,Belgium,117
Syrian Arab Rep.,Belgium,229
Dem. Rep. of the Congo,Benin,380
Rwanda,Benin,141
Myanmar,Bangladesh,3726
Afghanistan,Belarus,417
Angola,Brazil,1686
Dem. Rep. of the Congo,Brazil,443
Palestinian,Brazil,112
Iraq,Brazil,202
Liberia,Brazil,258
Viet Nam,Cambodia,101
Dem. Rep. of the Congo,Central African Rep.,13648
Rwanda,Central African Rep.,331
Sudan,Central African Rep.,4615
Central African Rep.,Chad,64428
Dem. Rep. of the Congo,Chad,207
Sudan,Chad,264064
Viet Nam,China,300897
Burundi,Cameroon,259
Central African Rep.,Cameroon,89927
Dem. Rep. of the Congo,Cameroon,685
Nigeria,Cameroon,2873
Rwanda,Cameroon,1535
Angola,Congo,828
Dem. Rep. of the Congo,Congo,124244
Rwanda,Congo,7775
Angola,Dem. Rep. of the Congo,79617
Burundi,Dem. Rep. of the Congo,12845
Central African Rep.,Dem. Rep. of the Congo,706
Rwanda,Dem. Rep. of the Congo,69836
Sudan,Dem. Rep. of the Congo,2505
Eritrea,Djibouti,236
Somalia,Djibouti,14216
Afghanistan,Ecuador,114
Somalia,Eritrea,4556
Sudan,Eritrea,173
Dem. Rep. of the Congo,Ethiopia,383
Eritrea,Ethiopia,44791
Somalia,Ethiopia,81247
Sudan,Ethiopia,25238
Afghanistan,France,1790
Angola,France,3097
Azerbaijan,France,2239
Burundi,France,320
Central African Rep.,France,577
Dem. Rep. of the Congo,France,11369
Eritrea,France,663
Palestinian,France,194
Iraq,France,2366
Liberia,France,225
Sri Lanka,France,21833
Mali,France,2614
Myanmar,France,171
Nigeria,France,726
Rwanda,France,2496
Somalia,France,1027
Viet Nam,France,8719
Sudan,France,1597
Syrian Arab Rep.,France,280
Liberia,Gambia,713
Afghanistan,Germany,30404
Angola,Germany,3321
Azerbaijan,Germany,6326
Burundi,Germany,138
Dem. Rep. of the Congo,Germany,5587
Eritrea,Germany,4519
Iraq,Germany,50432
Liberia,Germany,324
Sri Lanka,Germany,12057
Myanmar,Germany,799
Nigeria,Germany,2601
Rwanda,Germany,218
Somalia,Germany,2620
Viet Nam,Germany,24918
Sudan,Germany,531
Syrian Arab Rep.,Germany,10518
Liberia,Ghana,11585
Sudan,Ghana,185
Liberia,Guinea,9789
Dem. Rep. of the Congo,Cote d'Ivoire,147
Liberia,Cote d'Ivoire,25537
Afghanistan,India,9094
Iraq,India,122
Sri Lanka,India,69998
Myanmar,India,4630
Somalia,India,747
Afghanistan,Indonesia,259
Iraq,Indonesia,146
Sri Lanka,Indonesia,233
Palestinian,Iraq,10798
Syrian Arab Rep.,Iraq,254
Iraq,Jordan,450000
Somalia,Jordan,230
Sudan,Jordan,318
Syrian Arab Rep.,Jordan,198
Myanmar,Japan,1467
Viet Nam,Japan,584
Burundi,Kenya,765
Dem. Rep. of the Congo,Kenya,4879
Eritrea,Kenya,1225
Rwanda,Kenya,1665
Somalia,Kenya,351773
Sudan,Kenya,20528
Afghanistan,Kyrgyzstan,415
Myanmar,Rep. of Korea,119
Iraq,Kuwait,123
Eritrea,Libya,976
Palestinian,Libya,2739
Iraq,Libya,2885
Somalia,Libya,342
Sudan,Libya,834
Iraq,Lebanon,7630
Sudan,Lebanon,133
Dem. Rep. of the Congo,Mauritania,103
Dem. Rep. of the Congo,Mali,130
Liberia,Mali,424
Afghanistan,Malaysia,430
Palestinian,Malaysia,195
Iraq,Malaysia,498
Sri Lanka,Malaysia,2277
Myanmar,Malaysia,76094
Somalia,Malaysia,831
Dem. Rep. of the Congo,Morocco,212
Iraq,Morocco,168
Burundi,Mozambique,934
Dem. Rep. of the Congo,Mozambique,2262
Rwanda,Mozambique,820
Angola,Namibia,5904
Burundi,Namibia,178
Dem. Rep. of the Congo,Namibia,1035
Dem. Rep. of the Congo,Nigeria,720
Liberia,Nigeria,5316
Sudan,Nigeria,154
Afghanistan,Pakistan,1899842
Somalia,Pakistan,537
Burundi,Rwanda,341
Dem. Rep. of the Congo,Rwanda,55027
Eritrea,Saudi Arabia,379
Liberia,Senegal,233
Rwanda,Senegal,286
Liberia,Sierra Leone,8341
Central African Rep.,Sudan,1536
Dem. Rep. of the Congo,Sudan,20980
Eritrea,Sudan,103798
Afghanistan,Switzerland,1929
Angola,Switzerland,1440
Dem. Rep. of the Congo,Switzerland,1416
Eritrea,Switzerland,6859
Iraq,Switzerland,4563
Sri Lanka,Switzerland,3275
Rwanda,Switzerland,204
Somalia,Switzerland,4092
Viet Nam,Switzerland,1484
Sudan,Switzerland,154
Syrian Arab Rep.,Switzerland,694
Afghanistan,Syrian Arab Rep.,1611
Iraq,Syrian Arab Rep.,1000000
Somalia,Syrian Arab Rep.,2762
Sudan,Syrian Arab Rep.,539
Burundi,United Rep. of Tanzania,46271
Dem. Rep. of the Congo,United Rep. of Tanzania,60186
Somalia,United Rep. of Tanzania,1488
Sri Lanka,Thailand,350
Myanmar,Thailand,95718
Somalia,Thailand,122
Rwanda,Togo,245
Afghanistan,Turkey,1491
Iraq,Turkey,5277
Somalia,Turkey,932
Sudan,Turkey,130
Iraq,United Arab Emirates,432
Burundi,Uganda,4950
Dem. Rep. of the Congo,Uganda,81804
Eritrea,Uganda,3490
Rwanda,Uganda,12590
Somalia,Uganda,11151
Sudan,Uganda,19382
Afghanistan,Ukraine,1339
Azerbaijan,Ukraine,175
Afghanistan,Uzbekistan,304
Eritrea,Yemen,918
Palestinian,Yemen,621
Iraq,Yemen,4322
Somalia,Yemen,179845
Angola,Zambia,25265
Burundi,Zambia,1776
Dem. Rep. of the Congo,Zambia,12317
Rwanda,Zambia,4837
Somalia,Zambia,1313
Burundi,Zimbabwe,551
Dem. Rep. of the Congo,Zimbabwe,3070
Rwanda,Zimbabwe,688
Eritrea,Egypt,1036
Palestinian,Egypt,70029
Iraq,Egypt,6037
Somalia,Egypt,6328
Sudan,Egypt,10324
Azerbaijan,Armenia,1928
Iraq,Armenia,923
Afghanistan,Azerbaijan,706
Iraq,Bahrain,199
Dem. Rep. of the Congo,Burundi,35213
Rwanda,Burundi,400
Afghanistan,Belgium,785
Angola,Belgium,115
Burundi,Belgium,274
Dem. Rep. of the Congo,Belgium,711
Iraq,Belgium,1329
Sri Lanka,Belgium,264
Rwanda,Belgium,1026
Somalia,Belgium,195
Syrian Arab Rep.,Belgium,312
Dem. Rep. of the Congo,Benin,365
Rwanda,Benin,138
Myanmar,Bangladesh,3825
Afghanistan,Belarus,424
Angola,Botswana,497
Dem. Rep. of the Congo,Botswana,160
Somalia,Botswana,516
Angola,Brazil,1686
Dem. Rep. of the Congo,Brazil,470
Palestinian,Brazil,117
Iraq,Brazil,207
Liberia,Brazil,258
Afghanistan,Canada,1927
Burundi,Canada,422
Dem. Rep. of the Congo,Canada,919
Eritrea,Canada,1269
Palestinian,Canada,135
Iraq,Canada,1712
Liberia,Canada,106
Sri Lanka,Canada,1106
Myanmar,Canada,277
Nigeria,Canada,1484
Rwanda,Canada,438
Somalia,Canada,1891
Sudan,Canada,209
Syrian Arab Rep.,Canada,159
Dem. Rep. of the Congo,Central African Rep.,13427
Rwanda,Central African Rep.,257
Sudan,Central African Rep.,2120
Central African Rep.,Chad,66914
Dem. Rep. of the Congo,Chad,216
Sudan,Chad,281311
Viet Nam,China,300897
Central African Rep.,Cameroon,90176
Dem. Rep. of the Congo,Cameroon,460
Nigeria,Cameroon,3223
Rwanda,Cameroon,864
Angola,Congo,918
Dem. Rep. of the Congo,Congo,131648
Rwanda,Congo,8374
Angola,Dem. Rep. of the Congo,78144
Burundi,Dem. Rep. of the Congo,8915
Central African Rep.,Dem. Rep. of the Congo,910
Rwanda,Dem. Rep. of the Congo,61481
Sudan,Dem. Rep. of the Congo,2504
Eritrea,Djibouti,290
Somalia,Djibouti,19426
Afghanistan,Ecuador,114
Somalia,Eritrea,4472
Sudan,Eritrea,173
Dem. Rep. of the Congo,Ethiopia,534
Eritrea,Ethiopia,54896
Somalia,Ethiopia,185466
Sudan,Ethiopia,45286
Afghanistan,France,2120
Angola,France,3162
Azerbaijan,France,2445
Burundi,France,331
Central African Rep.,France,583
Dem. Rep. of the Congo,France,11931
Eritrea,France,1093
Palestinian,France,218
Iraq,France,2519
Liberia,France,228
Sri Lanka,France,22719
Mali,France,3082
Myanmar,France,174
Nigeria,France,794
Rwanda,France,2598
Somalia,France,1303
Viet Nam,France,8654
Sudan,France,1906
Syrian Arab Rep.,France,351
Liberia,Gambia,709
Afghanistan,Germany,30425
Angola,Germany,3118
Azerbaijan,Germany,6368
Burundi,Germany,112
Dem. Rep. of the Congo,Germany,5146
Eritrea,Germany,4606
Iraq,Germany,48976
Liberia,Germany,276
Sri Lanka,Germany,11724
Myanmar,Germany,819
Nigeria,Germany,2667
Rwanda,Germany,217
Somalia,Germany,3139
Viet Nam,Germany,24261
Sudan,Germany,509
Syrian Arab Rep.,Germany,10155
Liberia,Ghana,11295
Sudan,Ghana,191
Liberia,Guinea,9972
Dem. Rep. of the Congo,Cote d'Ivoire,157
Liberia,Cote d'Ivoire,23650
Afghanistan,India,9161
Iraq,India,111
Sri Lanka,India,68152
Myanmar,India,6621
Somalia,India,766
Afghanistan,Indonesia,476
Sri Lanka,Indonesia,219
Palestinian,Iraq,11549
Syrian Arab Rep.,Iraq,323
Iraq,Jordan,450000
Somalia,Jordan,242
Sudan,Jordan,412
Syrian Arab Rep.,Jordan,193
Myanmar,Japan,1645
Viet Nam,Japan,493
Afghanistan,Kazakhstan,556
Burundi,Kenya,803
Dem. Rep. of the Congo,Kenya,5155
Eritrea,Kenya,1220
Rwanda,Kenya,1505
Somalia,Kenya,517666
Sudan,Kenya,17568
