source,target,value
Croatia,Serbia and Kosovo: S/RES/1244 (1999),70169
North Macedonia,Serbia and Kosovo: S/RES/1244 (1999),398
Liberia,Senegal,236
Mauritania,Senegal,19503
Rwanda,Senegal,300
Sierra Leone,Senegal,142
Liberia,Sierra Leone,8738
Ethiopia,Somalia,851
Cambodia,Viet Nam,2357
Central African Rep.,Sudan,2500
Chad,Sudan,45024
Dem. Rep. of the Congo,Sudan,2283
Eritrea,Sudan,159917
Ethiopia,Sudan,11416
Somalia,Sudan,559
Burundi,Eswatini,173
Dem. Rep. of the Congo,Eswatini,134
Rwanda,Eswatini,117
Afghanistan,Switzerland,1609
Algeria,Switzerland,242
Angola,Switzerland,1967
Burundi,Switzerland,130
Bosnia and Herzegovina,Switzerland,4900
Cambodia,Switzerland,489
China,Switzerland,1109
Dem. Rep. of the Congo,Switzerland,1377
Colombia,Switzerland,266
Eritrea,Switzerland,1037
Ethiopia,Switzerland,464
Iran (Islamic Rep. of),Switzerland,1150
Iraq,Switzerland,4850
Lao People's Dem. Rep.,Switzerland,179
Libya,Switzerland,321
Sri Lanka,Switzerland,2176
North Macedonia,Switzerland,161
Pakistan,Switzerland,133
Russian Federation,Switzerland,406
Rwanda,Switzerland,246
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,8315
Somalia,Switzerland,3206
Viet Nam,Switzerland,1839
Sudan,Switzerland,149
Syrian Arab Rep.,Switzerland,430
Togo,Switzerland,460
Tunisia,Switzerland,658
Turkey,Switzerland,5345
Yemen,Switzerland,117
Stateless,Switzerland,109
Afghanistan,Syrian Arab Rep.,226
Palestinian,Syrian Arab Rep.,974
Iran (Islamic Rep. of),Syrian Arab Rep.,170
Iraq,Syrian Arab Rep.,1500000
Somalia,Syrian Arab Rep.,2080
Sudan,Syrian Arab Rep.,170
Burundi,United Rep. of Tanzania,336277
Dem. Rep. of the Congo,United Rep. of Tanzania,97099
Somalia,United Rep. of Tanzania,2059
China,Thailand,147
Lao People's Dem. Rep.,Thailand,417
Sri Lanka,Thailand,173
Myanmar,Thailand,124562
Dem. Rep. of the Congo,Togo,127
Cote d'Ivoire,Togo,134
Rwanda,Togo,821
Afghanistan,Turkey,212
Iran (Islamic Rep. of),Turkey,2148
Iraq,Turkey,3662
Somalia,Turkey,668
Burundi,Uganda,2224
Dem. Rep. of the Congo,Uganda,41782
Eritrea,Uganda,139
Ethiopia,Uganda,249
Rwanda,Uganda,17846
Somalia,Uganda,4573
Sudan,Uganda,157063
Afghanistan,Ukraine,1171
Armenia,Ukraine,205
Azerbaijan,Ukraine,184
Russian Federation,Ukraine,156
Colombia,Venezuela (Bolivarian Republic of),843
Eritrea,Yemen,415
Ethiopia,Yemen,1988
Palestinian,Yemen,440
Iraq,Yemen,3747
Somalia,Yemen,110616
Angola,Zambia,18757
Burundi,Zambia,1017
Dem. Rep. of the Congo,Zambia,40434
Rwanda,Zambia,3145
Somalia,Zambia,1025
Burundi,Zimbabwe,552
Dem. Rep. of the Congo,Zimbabwe,2596
Rwanda,Zimbabwe,635
Eritrea,Egypt,752
Ethiopia,Egypt,473
Palestinian,Egypt,70174
Cote d'Ivoire,Egypt,147
Iraq,Egypt,10091
Somalia,Egypt,5600
Sudan,Egypt,10146
Yemen,Egypt,204
Azerbaijan,Armenia,3082
Iraq,Armenia,837
Afghanistan,Azerbaijan,125
Russian Federation,Azerbaijan,1770
Dem. Rep. of the Congo,Burundi,20757
Rwanda,Burundi,310
Afghanistan,Belgium,196
Albania,Belgium,181
Angola,Belgium,128
Burundi,Belgium,243
Belarus,Belgium,124
China,Belgium,273
Cameroon,Belgium,163
Dem. Rep. of the Congo,Belgium,784
Comoros,Belgium,225
Guinea,Belgium,500
Hungary,Belgium,112
Iran (Islamic Rep. of),Belgium,305
Iraq,Belgium,494
Poland,Belgium,335
Russian Federation,Belgium,3981
Rwanda,Belgium,1108
Serbia and Kosovo: S/RES/1244 (1999),Belgium,1172
Syrian Arab Rep.,Belgium,152
Togo,Belgium,112
Turkey,Belgium,437
Ukraine,Belgium,100
Chad,Benin,210
Congo,Benin,272
Dem. Rep. of the Congo,Benin,410
Nigeria,Benin,107
Rwanda,Benin,154
Togo,Benin,5600
Myanmar,Bangladesh,28337
Chad,Burkina Faso,168
Congo,Burkina Faso,101
Afghanistan,Belarus,436
Georgia,Belarus,105
Peru,Bolivia (Plurinational State of),515
Angola,Botswana,469
Dem. Rep. of the Congo,Botswana,102
Namibia,Botswana,937
Somalia,Botswana,514
Zimbabwe,Botswana,808
Angola,Brazil,1666
Dem. Rep. of the Congo,Brazil,353
Colombia,Brazil,529
Cuba,Brazil,124
Palestinian,Brazil,127
Iraq,Brazil,167
Liberia,Brazil,249
Sierra Leone,Brazil,124
Croatia,Bosnia and Herzegovina,7070
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,170
El Salvador,Belize,264
Viet Nam,Cambodia,140
Chad,Central African Rep.,1059
Dem. Rep. of the Congo,Central African Rep.,1536
Rwanda,Central African Rep.,291
Sudan,Central African Rep.,4411
Central African Rep.,Chad,47695
Sudan,Chad,233335
Burundi,Cameroon,260
Central African Rep.,Cameroon,66602
Chad,Cameroon,8773
Congo,Cameroon,146
Dem. Rep. of the Congo,Cameroon,684
Nigeria,Cameroon,2872
Rwanda,Cameroon,1369
Angola,Congo,2652
Dem. Rep. of the Congo,Congo,13973
Rwanda,Congo,7897
Colombia,Costa Rica,9939
Cuba,Costa Rica,650
Nicaragua,Costa Rica,619
Peru,Costa Rica,230
Venezuela (Bolivarian Republic of),Costa Rica,153
Western Sahara,Cuba,504
Eritrea,Djibouti,150
Ethiopia,Djibouti,551
Somalia,Djibouti,8522
Colombia,Ecuador,18299
Cuba,Ecuador,228
Somalia,Eritrea,4675
Sudan,Eritrea,111
Dem. Rep. of the Congo,Ethiopia,225
Eritrea,Ethiopia,21018
Kenya,Ethiopia,2645
Somalia,Ethiopia,33625
Sudan,Ethiopia,25913
Afghanistan,France,1345
Albania,France,1374
Algeria,France,1268
Angola,France,2814
Egypt,France,111
Armenia,France,2187
Azerbaijan,France,1745
Burundi,France,302
Bangladesh,France,1717
Belarus,France,413
Bosnia and Herzegovina,France,3834
Cambodia,France,13195
Central African Rep.,France,530
Chad,France,892
China,France,665
Cameroon,France,582
Congo,France,2830
Dem. Rep. of the Congo,France,9952
Comoros,France,114
Colombia,France,397
Cuba,France,116
Eritrea,France,222
Ethiopia,France,423
Palestinian,France,109
Georgia,France,1889
Ghana,France,569
Guinea-Bissau,France,832
Guinea,France,2089
Haiti,France,3152
Cote d'Ivoire,France,1603
India,France,213
Iran (Islamic Rep. of),France,1661
Iraq,France,1656
Kazakhstan,France,322
Kyrgyzstan,France,144
Lao People's Dem. Rep.,France,7496
Liberia,France,211
Sri Lanka,France,18102
Madagascar,France,216
Mauritania,France,4125
North Macedonia,France,206
Rep. of Moldova,France,369
Mali,France,1049
Mongolia,France,218
Morocco,France,109
Myanmar,France,144
Nigeria,France,606
Pakistan,France,338
Peru,France,263
Poland,France,185
Romania,France,186
Russian Federation,France,7615
Rwanda,France,2184
Serbia and Kosovo: S/RES/1244 (1999),France,8395
Senegal,France,179
Sierra Leone,France,349
Somalia,France,686
Viet Nam,France,8583
Sudan,France,1151
Slovakia,France,103
Syrian Arab Rep.,France,233
Togo,France,586
Tunisia,France,303
Turkey,France,10564
Ukraine,France,678
Uzbekistan,France,171
Chad,Gabon,940
Congo,Gabon,7674
Liberia,Gambia,762
Senegal,Gambia,7546
Sierra Leone,Gambia,6454
Russian Federation,Georgia,981
Liberia,Ghana,15797
Sierra Leone,Ghana,132
Sudan,Ghana,392
Togo,Ghana,1796
Liberia,Guinea-Bissau,109
Senegal,Guinea-Bissau,7492
Sierra Leone,Guinea-Bissau,209
Nicaragua,Guatemala,104
Cote d'Ivoire,Guinea,3864
Liberia,Guinea,11097
Sierra Leone,Guinea,6460
Bosnia and Herzegovina,Croatia,1075
Serbia and Kosovo: S/RES/1244 (1999),Croatia,297
Congo,Cote d'Ivoire,154
Dem. Rep. of the Congo,Cote d'Ivoire,138
Liberia,Cote d'Ivoire,24256
Afghanistan,India,8441
Palestinian,India,141
Iraq,India,109
Sri Lanka,India,73286
Myanmar,India,1967
Somalia,India,489
Iraq,Indonesia,186
Afghanistan,Iran (Islamic Rep. of),935595
Iraq,Iran (Islamic Rep. of),44444
Palestinian,Iraq,12302
Iran (Islamic Rep. of),Iraq,10823
Syrian Arab Rep.,Iraq,534
Turkey,Iraq,15716
Cote d'Ivoire,Israel,235
Iraq,Jordan,500000
Russian Federation,Jordan,109
Somalia,Jordan,134
Myanmar,Japan,746
Viet Nam,Japan,867
Afghanistan,Kazakhstan,493
Russian Federation,Kazakhstan,3692
Uzbekistan,Kazakhstan,135
Burundi,Kenya,1313
Dem. Rep. of the Congo,Kenya,2927
Eritrea,Kenya,779
Ethiopia,Kenya,22649
Rwanda,Kenya,2524
Somalia,Kenya,259121
Sudan,Kenya,28496
Uganda,Kenya,2789
Afghanistan,Kyrgyzstan,267
Cote d'Ivoire,Liberia,6607
Sierra Leone,Liberia,3579
Eritrea,Libya,312
Palestinian,Libya,2842
Iraq,Libya,2217
Liberia,Libya,147
Somalia,Libya,573
Sudan,Libya,372
Iraq,Lebanon,10245
Sudan,Lebanon,101
Pakistan,Sri Lanka,176
Russian Federation,Lithuania,197
Cote d'Ivoire,Mauritania,295
Liberia,Mauritania,185
Sierra Leone,Mauritania,317
Serbia and Kosovo: S/RES/1244 (1999),North Macedonia,1152
Colombia,Mexico,178
Guatemala,Mexico,274
Haiti,Mexico,126
El Salvador,Mexico,171
Dem. Rep. of the Congo,Mali,122
Cote d'Ivoire,Mali,2078
Mauritania,Mali,6157
Sierra Leone,Mali,665
Palestinian,Malaysia,105
Iraq,Malaysia,327
Sri Lanka,Malaysia,1232
Myanmar,Malaysia,33715
Somalia,Malaysia,365
Thailand,Malaysia,122
Burundi,Malawi,805
Dem. Rep. of the Congo,Malawi,1577
Rwanda,Malawi,1774
Dem. Rep. of the Congo,Morocco,213
Cote d'Ivoire,Morocco,282
Iraq,Morocco,135
Burundi,Mozambique,718
Dem. Rep. of the Congo,Mozambique,1667
Rwanda,Mozambique,720
Bosnia and Herzegovina,Montenegro,6168
Croatia,Montenegro,2361
Serbia and Kosovo: S/RES/1244 (1999),Montenegro,16210
Angola,Namibia,5916
Burundi,Namibia,127
Dem. Rep. of the Congo,Namibia,675
Bhutan,Nepal,102087
Pakistan,Nepal,146
Tibetan,Nepal,20000
Chad,Niger,137
El Salvador,Nicaragua,114
Chad,Nigeria,112
Cameroon,Nigeria,1819
Dem. Rep. of the Congo,Nigeria,773
Liberia,Nigeria,5303
Sierra Leone,Nigeria,1634
Sudan,Nigeria,188
Afghanistan,Pakistan,764935
Iraq,Pakistan,109
Somalia,Pakistan,491
Colombia,Panama,1303
Nicaragua,Panama,170
El Salvador,Panama,269
Colombia,Peru,232
Cuba,Peru,587
Serbia and Kosovo: S/RES/1244 (1999),Peru,103
Indonesia,Papua New Guinea,2500
Burundi,Rwanda,2624
Dem. Rep. of the Congo,Rwanda,52409
Eritrea,Saudi Arabia,382
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),27165
Croatia,Serbia and Kosovo: S/RES/1244 (1999),69505
Liberia,Senegal,233
Mauritania,Senegal,32292
Rwanda,Senegal,300
Sierra Leone,Senegal,141
Liberia,Sierra Leone,7778
Ethiopia,Somalia,1756
Cambodia,Viet Nam,2357
Central African Rep.,Sudan,245
Chad,Sudan,41202
Dem. Rep. of the Congo,Sudan,5447
Eritrea,Sudan,124785
Ethiopia,Sudan,8621
Somalia,Sudan,204
Burundi,Eswatini,171
Dem. Rep. of the Congo,Eswatini,133
Rwanda,Eswatini,108
Afghanistan,Switzerland,1610
Algeria,Switzerland,217
Angola,Switzerland,1843
Bosnia and Herzegovina,Switzerland,4314
Cambodia,Switzerland,432
China,Switzerland,1179
Cameroon,Switzerland,119
Dem. Rep. of the Congo,Switzerland,1451
Colombia,Switzerland,298
Eritrea,Switzerland,2471
Ethiopia,Switzerland,545
Cote d'Ivoire,Switzerland,104
Iran (Islamic Rep. of),Switzerland,1234
Iraq,Switzerland,3038
Lao People's Dem. Rep.,Switzerland,172
Libya,Switzerland,298
Sri Lanka,Switzerland,2464
North Macedonia,Switzerland,160
Pakistan,Switzerland,153
Russian Federation,Switzerland,482
Rwanda,Switzerland,237
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,7397
Somalia,Switzerland,3070
Viet Nam,Switzerland,1706
Sudan,Switzerland,154
Syrian Arab Rep.,Switzerland,626
Togo,Switzerland,524
Tunisia,Switzerland,651
Turkey,Switzerland,5245
Yemen,Switzerland,166
Afghanistan,Syrian Arab Rep.,517
Palestinian,Syrian Arab Rep.,1165
Iran (Islamic Rep. of),Syrian Arab Rep.,169
Iraq,Syrian Arab Rep.,1100000
Somalia,Syrian Arab Rep.,3358
Sudan,Syrian Arab Rep.,292
Burundi,United Rep. of Tanzania,240480
Dem. Rep. of the Congo,United Rep. of Tanzania,79706
Somalia,United Rep. of Tanzania,1520
China,Thailand,144
Lao People's Dem. Rep.,Thailand,432
Sri Lanka,Thailand,352
Myanmar,Thailand,111555
Somalia,Thailand,123
Dem. Rep. of the Congo,Togo,112
Ghana,Togo,8113
Cote d'Ivoire,Togo,140
Rwanda,Togo,806
Afghanistan,Turkey,347
Iran (Islamic Rep. of),Turkey,2105
Iraq,Turkey,7481
Somalia,Turkey,862
Iraq,United Arab Emirates,126
Burundi,Uganda,3183
Dem. Rep. of the Congo,Uganda,60498
Eritrea,Uganda,796
Ethiopia,Uganda,581
Kenya,Uganda,1908
Rwanda,Uganda,16162
Somalia,Uganda,6085
Sudan,Uganda,56883
Afghanistan,Ukraine,1156
Armenia,Ukraine,195
Azerbaijan,Ukraine,182
Russian Federation,Ukraine,119
Afghanistan,Uzbekistan,809
Colombia,Venezuela (Bolivarian Republic of),1094
Eritrea,Yemen,603
Ethiopia,Yemen,2140
Palestinian,Yemen,517
Iraq,Yemen,4461
Somalia,Yemen,132275
Angola,Zambia,18901
Burundi,Zambia,1537
Dem. Rep. of the Congo,Zambia,32329
Rwanda,Zambia,3998
Somalia,Zambia,1168
Uganda,Zambia,108
Burundi,Zimbabwe,498
Dem. Rep. of the Congo,Zimbabwe,2250
Rwanda,Zimbabwe,592
Chad,Angola,132
Dem. Rep. of the Congo,Angola,13364
Cote d'Ivoire,Angola,187
Rwanda,Angola,422
Sierra Leone,Angola,216
Sudan,Angola,135
Eritrea,Egypt,859
Ethiopia,Egypt,492
Palestinian,Egypt,70024
Cote d'Ivoire,Egypt,140
Iraq,Egypt,6572
Somalia,Egypt,6096
Sudan,Egypt,9818
Yemen,Egypt,205
Azerbaijan,Armenia,2681
Iraq,Armenia,870
Afghanistan,Azerbaijan,149
Iran (Islamic Rep. of),Azerbaijan,113
Russian Federation,Azerbaijan,1334
Iraq,Bahrain,139
Dem. Rep. of the Congo,Burundi,24614
Rwanda,Burundi,327
Afghanistan,Belgium,271
Albania,Belgium,195
Angola,Belgium,109
Burundi,Belgium,245
Belarus,Belgium,108
China,Belgium,384
Cameroon,Belgium,220
Dem. Rep. of the Congo,Belgium,748
Guinea,Belgium,696
Hungary,Belgium,103
Cote d'Ivoire,Belgium,201
Iran (Islamic Rep. of),Belgium,339
Iraq,Belgium,718
Sri Lanka,Belgium,160
Mauritania,Belgium,116
Poland,Belgium,302
Russian Federation,Belgium,3428
Rwanda,Belgium,1046
Serbia and Kosovo: S/RES/1244 (1999),Belgium,1059
Syrian Arab Rep.,Belgium,177
Togo,Belgium,112
Turkey,Belgium,471
Chad,Benin,215
Congo,Benin,266
Dem. Rep. of the Congo,Benin,402
Rwanda,Benin,145
Togo,Benin,5921
Myanmar,Bangladesh,28557
Chad,Burkina Faso,170
Afghanistan,Belarus,408
Georgia,Belarus,100
Colombia,Bolivia (Plurinational State of),110
Peru,Bolivia (Plurinational State of),516
Angola,Botswana,502
Dem. Rep. of the Congo,Botswana,111
Namibia,Botswana,884
Somalia,Botswana,488
Zimbabwe,Botswana,860
Angola,Brazil,1683
Bolivia (Plurinational State of),Brazil,121
Dem. Rep. of the Congo,Brazil,383
Colombia,Brazil,597
Cuba,Brazil,128
Palestinian,Brazil,121
Iraq,Brazil,197
Liberia,Brazil,259
Sierra Leone,Brazil,138
Croatia,Bosnia and Herzegovina,6941
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,174
El Salvador,Belize,225
Viet Nam,Cambodia,107
Chad,Central African Rep.,1201
Dem. Rep. of the Congo,Central African Rep.,20899
Rwanda,Central African Rep.,329
Sudan,Central African Rep.,4488
Central African Rep.,Chad,61367
Sudan,Chad,234576
Burundi,Cameroon,256
Central African Rep.,Cameroon,85824
Chad,Cameroon,8342
Congo,Cameroon,160
Dem. Rep. of the Congo,Cameroon,714
Nigeria,Cameroon,2873
Rwanda,Cameroon,1438
Angola,Congo,813
Dem. Rep. of the Congo,Congo,9130
Rwanda,Congo,7121
Angola,Dem. Rep. of the Congo,84374
Burundi,Dem. Rep. of the Congo,7662
Congo,Dem. Rep. of the Congo,706
Rwanda,Dem. Rep. of the Congo,1664
Sudan,Dem. Rep. of the Congo,2509
Colombia,Costa Rica,10199
Cuba,Costa Rica,693
Nicaragua,Costa Rica,620
Peru,Costa Rica,230
Venezuela (Bolivarian Republic of),Costa Rica,194
Western Sahara,Cuba,440
Eritrea,Djibouti,293
Ethiopia,Djibouti,615
Somalia,Djibouti,11198
Afghanistan,Ecuador,105
Colombia,Ecuador,44380
Cuba,Ecuador,258
Somalia,Eritrea,4561
Sudan,Eritrea,117
Dem. Rep. of the Congo,Ethiopia,295
Eritrea,Ethiopia,36164
Kenya,Ethiopia,2732
Somalia,Ethiopia,58980
Sudan,Ethiopia,23516
Chad,Gabon,954
Congo,Gabon,7523
Liberia,Gambia,728
Senegal,Gambia,7546
Sierra Leone,Gambia,1788
Russian Federation,Georgia,857
Afghanistan,Germany,30320
Albania,Germany,2310
Algeria,Germany,2317
Angola,Germany,3433
Egypt,Germany,832
Armenia,Germany,3691
Azerbaijan,Germany,6063
Burundi,Germany,145
Benin,Germany,167
Bangladesh,Germany,942
Burkina Faso,Germany,189
Belarus,Germany,1694
Brazil,Germany,163
Bosnia and Herzegovina,Germany,24947
Bulgaria,Germany,191
Cambodia,Germany,156
China,Germany,3654
Chile,Germany,430
Cameroon,Germany,1180
Congo,Germany,684
Dem. Rep. of the Congo,Germany,6093
Colombia,Germany,229
Cuba,Germany,381
Czechia,Germany,160
Ecuador,Germany,127
Eritrea,Germany,4293
Ethiopia,Germany,4631
Gambia,Germany,469
Georgia,Germany,1943
Ghana,Germany,4270
Guinea,Germany,572
Croatia,Germany,4100
Hungary,Germany,133
Cote d'Ivoire,Germany,494
India,Germany,2879
Indonesia,Germany,108
Iran (Islamic Rep. of),Germany,20226
Iraq,Germany,49033
Israel,Germany,350
Jordan,Germany,788
Japan,Germany,121
Kazakhstan,Germany,1665
Kenya,Germany,253
Kyrgyzstan,Germany,1358
Rep. of Korea,Germany,226
Dem. People's Rep. of Korea,Germany,156
Kuwait,Germany,151
Lao People's Dem. Rep.,Germany,173
Liberia,Germany,357
Libya,Germany,571
Lebanon,Germany,12950
Sri Lanka,Germany,12248
Lithuania,Germany,208
Latvia,Germany,468
North Macedonia,Germany,6081
Rep. of Moldova,Germany,4041
Mongolia,Germany,178
Morocco,Germany,1530
Montenegro,Germany,2425
Myanmar,Germany,756
Nepal,Germany,350
Niger,Germany,192
Nigeria,Germany,2640
Pakistan,Germany,7383
Peru,Germany,221
Philippines,Germany,216
Poland,Germany,743
Romania,Germany,674
Russian Federation,Germany,37642
Rwanda,Germany,224
Saudi Arabia,Germany,364
Serbia and Kosovo: S/RES/1244 (1999),Germany,123700
Senegal,Germany,152
Sierra Leone,Germany,686
Somalia,Germany,2407
Viet Nam,Germany,25215
Sudan,Germany,546
Syrian Arab Rep.,Germany,10217
Thailand,Germany,235
Tajikistan,Germany,129
Turkmenistan,Germany,210
Togo,Germany,4592
Tunisia,Germany,772
Turkey,Germany,101068
United Arab Emirates,Germany,357
Uganda,Germany,260
Ukraine,Germany,18412
United States of America,Germany,298
Uzbekistan,Germany,1933
Yemen,Germany,396
Stateless,Germany,5097
Liberia,Ghana,11476
Sierra Leone,Ghana,132
Sudan,Ghana,261
Togo,Ghana,1656
Liberia,Guinea-Bissau,115
Senegal,Guinea-Bissau,7492
Sierra Leone,Guinea-Bissau,212
Nicaragua,Guatemala,104
Cote d'Ivoire,Guinea,3968
Liberia,Guinea,11120
Sierra Leone,Guinea,168
Bosnia and Herzegovina,Croatia,870
Serbia and Kosovo: S/RES/1244 (1999),Croatia,264
Afghanistan,Hungary,1907
Congo,Cote d'Ivoire,149
Dem. Rep. of the Congo,Cote d'Ivoire,137
Liberia,Cote d'Ivoire,24033
Afghanistan,India,8528
Iraq,India,130
Sri Lanka,India,72883
Myanmar,India,2952
Somalia,India,655
Afghanistan,Indonesia,220
Iraq,Indonesia,209
Sri Lanka,Indonesia,121
Myanmar,Indonesia,154
Afghanistan,Iran (Islamic Rep. of),1022494
Iraq,Iran (Islamic Rep. of),47924
Palestinian,Iraq,11930
Iran (Islamic Rep. of),Iraq,12401
Syrian Arab Rep.,Iraq,757
Turkey,Iraq,10125
Cote d'Ivoire,Israel,202
Iraq,Jordan,450000
Somalia,Jordan,212
Sudan,Jordan,191
Syrian Arab Rep.,Jordan,138
Myanmar,Japan,1193
Viet Nam,Japan,690
Afghanistan,Kazakhstan,429
Russian Federation,Kazakhstan,3692
Uzbekistan,Kazakhstan,182
Burundi,Kenya,1313
Dem. Rep. of the Congo,Kenya,3608
Eritrea,Kenya,1027
Ethiopia,Kenya,17103
Rwanda,Kenya,2468
Somalia,Kenya,310280
Sudan,Kenya,20315
Uganda,Kenya,2760
Afghanistan,Kyrgyzstan,323
Myanmar,Rep. of Korea,101
Iraq,Kuwait,175
Cote d'Ivoire,Liberia,6414
Sierra Leone,Liberia,500
Eritrea,Libya,622
Palestinian,Libya,3777
Iraq,Libya,2777
Liberia,Libya,134
Somalia,Libya,643
Sudan,Libya,919
Iraq,Lebanon,8742
Russian Federation,Lithuania,148
Cote d'Ivoire,Mauritania,330
Liberia,Mauritania,184
Serbia and Kosovo: S/RES/1244 (1999),North Macedonia,1064
Colombia,Mexico,210
Guatemala,Mexico,281
Haiti,Mexico,175
El Salvador,Mexico,183
Dem. Rep. of the Congo,Mali,126
Cote d'Ivoire,Mali,2028
Liberia,Mali,423
Mauritania,Mali,10482
Afghanistan,Malaysia,248
Palestinian,Malaysia,156
Iraq,Malaysia,450
Sri Lanka,Malaysia,2132
Myanmar,Malaysia,61393
Somalia,Malaysia,647
Thailand,Malaysia,124
Burundi,Malawi,1220
Dem. Rep. of the Congo,Malawi,1950
Rwanda,Malawi,2226
Dem. Rep. of the Congo,Morocco,209
Cote d'Ivoire,Morocco,280
Iraq,Morocco,157
Burundi,Mozambique,827
Dem. Rep. of the Congo,Mozambique,1932
Rwanda,Mozambique,730
Bosnia and Herzegovina,Montenegro,5636
Croatia,Montenegro,2184
Serbia and Kosovo: S/RES/1244 (1999),Montenegro,16197
Angola,Namibia,5924
Burundi,Namibia,153
Dem. Rep. of the Congo,Namibia,964
Bhutan,Nepal,85908
Pakistan,Nepal,142
Tibetan,Nepal,20000
Chad,Niger,136
Chad,Nigeria,178
Cameroon,Nigeria,1995
Dem. Rep. of the Congo,Nigeria,760
Liberia,Nigeria,5261
Sierra Leone,Nigeria,456
Sudan,Nigeria,178
Afghanistan,Pakistan,758616
Somalia,Pakistan,528
Colombia,Panama,1299
Nicaragua,Panama,170
El Salvador,Panama,269
Colombia,Peru,275
Cuba,Peru,592
Serbia and Kosovo: S/RES/1244 (1999),Peru,105
Indonesia,Papua New Guinea,1210
Burundi,Rwanda,336
Dem. Rep. of the Congo,Rwanda,53647
Eritrea,Saudi Arabia,379
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),24154
Croatia,Serbia and Kosovo: S/RES/1244 (1999),62145
Liberia,Senegal,233
Mauritania,Senegal,21377
Rwanda,Senegal,305
Liberia,Sierra Leone,9030
Ethiopia,Somalia,1760
Cambodia,Viet Nam,2357
Central African Rep.,Sudan,1033
Chad,Sudan,7770
Dem. Rep. of the Congo,Sudan,19709
Eritrea,Sudan,87798
Ethiopia,Sudan,8362
Burundi,Eswatini,170
Dem. Rep. of the Congo,Eswatini,126
Rwanda,Eswatini,108
Afghanistan,Switzerland,1683
Algeria,Switzerland,211
Angola,Switzerland,1644
Bosnia and Herzegovina,Switzerland,3792
Cambodia,Switzerland,415
China,Switzerland,1239
Cameroon,Switzerland,125
Dem. Rep. of the Congo,Switzerland,1449
Colombia,Switzerland,290
Eritrea,Switzerland,3944
Ethiopia,Switzerland,585
Cote d'Ivoire,Switzerland,114
Iran (Islamic Rep. of),Switzerland,1255
Iraq,Switzerland,4612
Lao People's Dem. Rep.,Switzerland,164
Libya,Switzerland,299
Sri Lanka,Switzerland,2836
North Macedonia,Switzerland,159
Pakistan,Switzerland,150
Russian Federation,Switzerland,528
Rwanda,Switzerland,225
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,6491
Somalia,Switzerland,3197
Viet Nam,Switzerland,1587
Sudan,Switzerland,144
Syrian Arab Rep.,Switzerland,661
Togo,Switzerland,590
Tunisia,Switzerland,605
Turkey,Switzerland,4900
Yemen,Switzerland,207
Afghanistan,Syrian Arab Rep.,963
Palestinian,Syrian Arab Rep.,631
Iran (Islamic Rep. of),Syrian Arab Rep.,158
Iraq,Syrian Arab Rep.,1050000
Somalia,Syrian Arab Rep.,2260
Sudan,Syrian Arab Rep.,316
Burundi,United Rep. of Tanzania,53823
Dem. Rep. of the Congo,United Rep. of Tanzania,63275
Somalia,United Rep. of Tanzania,1447
Lao People's Dem. Rep.,Thailand,271
Sri Lanka,Thailand,410
Myanmar,Thailand,104107
Somalia,Thailand,122
Ghana,Togo,8073
Rwanda,Togo,239
Afghanistan,Turkey,1040
Iran (Islamic Rep. of),Turkey,1803
Iraq,Turkey,6194
Somalia,Turkey,922
Sudan,Turkey,108
Iraq,United Arab Emirates,210
Burundi,Uganda,3777
Dem. Rep. of the Congo,Uganda,73175
Eritrea,Uganda,3046
Ethiopia,Uganda,891
Kenya,Uganda,1684
Rwanda,Uganda,15717
Somalia,Uganda,8172
Sudan,Uganda,20836
Afghanistan,Ukraine,1239
Armenia,Ukraine,196
Azerbaijan,Ukraine,179
Russian Federation,Ukraine,122
Afghanistan,Uzbekistan,546
Colombia,Venezuela (Bolivarian Republic of),1244
Eritrea,Yemen,767
Ethiopia,Yemen,3446
Palestinian,Yemen,580
Iraq,Yemen,4428
Somalia,Yemen,161468
Angola,Zambia,17100
Burundi,Zambia,1687
Dem. Rep. of the Congo,Zambia,15430
Rwanda,Zambia,4245
Somalia,Zambia,1227
Uganda,Zambia,110
Burundi,Zimbabwe,555
Dem. Rep. of the Congo,Zimbabwe,2648
Rwanda,Zimbabwe,652
Chad,Angola,148
Dem. Rep. of the Congo,Angola,13648
Cote d'Ivoire,Angola,211
Rwanda,Angola,444
Sierra Leone,Angola,219
Sudan,Angola,159
Eritrea,Egypt,938
Ethiopia,Egypt,562
Palestinian,Egypt,70026
Cote d'Ivoire,Egypt,149
Iraq,Egypt,6772
Somalia,Egypt,6172
Sudan,Egypt,10035
Yemen,Egypt,205
Azerbaijan,Armenia,2347
Iraq,Armenia,888
Afghanistan,Azerbaijan,718
Iran (Islamic Rep. of),Azerbaijan,104
Russian Federation,Azerbaijan,1028
Iraq,Bahrain,165
Dem. Rep. of the Congo,Burundi,28957
Rwanda,Burundi,366
